index,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,selling_price,sale_date
86,2015,kia,Sorento,LX,SUV,automatic,5xyktca64fg570963,ca,46.0,13452.0,silver,black,kia motors america  inc,20600.0,21500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
87,2014,chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb5e7115504,ca,41.0,37938.0,black,black,avis rac/san leandro,12950.0,13700.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
88,2014,chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb0e7134820,ca,42.0,39623.0,blue,black,avis corporation,13350.0,13200.0,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
89,2014,chevrolet,Silverado 2500HD,Work Truck,Crew Cab,automatic,1gc1kvc84ef152736,ca,36.0,8742.0,white,gray,enterprise fleet management exchange  inc.,34000.0,34000.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
90,2015,kia,Sorento,LX,SUV,automatic,5xyktca60fg563086,ca,5.0,16348.0,gray,gray,kia motors america  inc,20500.0,20500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
91,2015,hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh553630,ca,5.4,9750.0,blue,gray,avis rac/san leandro,13700.0,10000.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
92,2015,hyundai,Elantra,SE,Sedan,automatic,5npdh4ae4fh552981,ca,35.0,3367.0,silver,gray,ag leaseplan,13900.0,13200.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
93,2014,acura,MDX,Advance and Entertainment Packages,SUV,automatic,5fryd3h83eb011004,ca,49.0,21523.0,white,gray,onemain rem/m&m auto traders,39500.0,41500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
94,2015,ford,Fusion,SE,Sedan,automatic,3fa6p0h7xfr151689,ca,1.0,4205.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,14700.0,12000.0,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
95,2014,bmw,6 Series,650i,Convertible,automatic,wbayp9c53ed169288,ca,37.0,8891.0,silver,black,the hertz corporation,68000.0,67200.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
96,2014,chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb8e7420706,ca,2.0,8154.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,14150.0,10000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
97,2014,chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcrecxeg363552,ca,37.0,6726.0,black,black,repo remarketing/visterra credit union,26900.0,30250.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
98,2014,chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb4e7109323,ca,37.0,36771.0,silver,black,avis rac/san leandro,13000.0,13600.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
99,2015,kia,Sorento,LX,SUV,automatic,5xyktca67fg567068,ca,49.0,9552.0,burgundy,beige,kia motors america  inc,20800.0,21000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
100,2014,chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb3e7406616,ca,1.0,10673.0,red,black,enterprise vehicle exchange / tra / rental / tulsa,14150.0,3300.0,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
101,2015,volvo,V60,T5,Wagon,automatic,yv1612sb6f1202338,ca,37.0,14806.0,white,beige,volvo na rep/world omni,30700.0,30000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
102,2014,chevrolet,Camaro,LS,Coupe,manual,2g1fe1e34e9190976,ca,44.0,7924.0,white,black,tdaf remarketing,17850.0,18500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
103,2015,nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap4fn310470,ca,1.0,12752.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,14600.0,9500.0,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
104,2014,bmw,6 Series,650i,Convertible,automatic,wbayp9c5xed169286,ca,38.0,19499.0,silver,black,the hertz corporation,63000.0,62000.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
105,2015,hyundai,Elantra,SE,Sedan,automatic,5npdh4ae0fh574105,ca,1.0,6759.0,blue,gray,enterprise vehicle exchange / tra / rental / tulsa,13800.0,5800.0,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
